H,FileVers,1
H,ID,E01PS10-2991
H,FileSequence,5126
H,SpiderSwVers,5.0.2 2011-10-20
H,SpiderParamVers,5
H,SpiderSysStart,30
H,SpiderTime,2012-05-11 11:42:35
H,SpiderTimeZone,+1
H,SpiderUpTime,131
H,LIU1SwVers,-
H,LIU2SwVers,-
H,SpiderLinkVers,1.0.5
H,SpiderLinkUpTime,
L,REG407,32.80,0.00
L,REG403,32.90,21.92
L,REG405,32.90,0.20
L,REG407,33.20,0.08
L,REG407,33.30,0.12
L,REG403,33.40,22.96
L,REG407,33.40,0.16
L,REG407,33.50,0.12
L,REG403,33.60,21.92
L,REG407,33.60,0.08
L,REG407,33.70,0.12
L,REG407,33.80,0.08
L,REG407,33.90,0.00
L,REG407,34.00,0.08
L,REG407,34.20,0.04
L,REG405,34.30,-0.08
L,REG407,34.30,0.12
L,REG405,34.40,0.20
L,REG407,34.40,0.16
L,REG403,34.50,22.96
L,REG407,34.50,0.04
L,REG403,34.60,21.92
L,REG407,34.60,0.12
L,REG403,34.70,22.96
L,REG404,34.70,38.12
L,REG407,34.70,0.16
L,REG403,34.80,21.92
L,REG404,34.80,38.38
L,REG407,34.80,0.24
L,REG405,34.90,-0.08
L,REG407,34.90,0.28
L,REG403,35.00,22.96
L,REG405,35.00,0.20
L,REG407,35.00,0.16
L,REG403,35.10,21.92
L,REG407,35.10,0.12
L,REG403,35.20,22.96
L,REG407,35.20,0.08
L,REG405,35.30,-0.08
L,REG407,35.30,0.12
L,REG403,35.40,21.92
L,REG405,35.40,0.20
L,REG403,35.50,22.96
L,REG407,35.50,0.20
L,REG403,35.60,21.92
L,REG405,35.60,-0.08
L,REG403,35.70,22.96
L,REG405,35.70,0.20
L,REG407,35.70,0.12
L,REG403,35.80,21.92
L,REG407,35.80,0.08
L,REG403,35.90,22.96
L,REG405,35.90,-0.08
L,REG407,35.90,0.00
L,REG403,36.00,21.92
L,REG405,36.00,0.20
L,REG407,36.10,0.08
L,REG403,36.20,22.96
L,REG404,36.20,38.12
L,REG405,36.20,-0.08
L,REG407,36.20,0.12
L,REG404,36.30,38.38
L,REG405,36.30,0.20
L,REG407,36.30,0.04
L,REG403,36.40,21.92
L,REG407,36.40,0.00
L,REG403,36.50,22.96
L,REG405,36.50,-0.08
L,REG405,36.60,0.20
L,REG403,36.90,21.92
L,REG404,36.90,38.12
L,REG407,36.90,0.08
L,REG404,37.00,38.38
L,REG407,37.00,0.00
L,REG404,37.20,38.12
L,REG403,37.30,22.96
L,REG404,37.40,38.38
L,REG403,37.60,21.92
L,REG405,37.80,-0.08
L,REG405,37.90,0.20
L,REG407,37.90,0.08
L,REG403,38.00,22.96
L,REG405,38.00,-0.08
L,REG407,38.00,0.00
L,REG405,38.10,0.20
L,REG404,38.20,38.12
L,REG407,38.20,0.08
L,REG403,38.30,21.92
L,REG404,38.30,38.38
L,REG407,38.30,0.12
L,REG403,38.40,22.96
L,REG407,38.40,0.08
L,REG403,38.50,21.92
L,REG407,38.60,0.04
L,REG403,38.70,22.96
L,REG404,38.80,38.12
L,REG407,38.80,0.00
L,REG404,38.90,38.38
L,REG407,38.90,0.04
L,REG403,39.00,21.92
L,REG405,39.00,-0.08
L,REG407,39.00,0.00
L,REG405,39.10,0.20
L,REG403,39.20,22.96
L,REG403,39.30,21.92
L,REG403,39.40,22.96
L,REG405,39.40,-0.08
L,REG403,39.50,21.92
L,REG404,39.60,38.12
L,REG405,39.60,0.20
L,REG407,39.60,0.04
L,REG404,39.70,38.38
L,REG407,39.70,0.00
L,REG407,39.80,0.04
L,REG407,40.00,0.08
L,REG405,40.10,-0.08
L,REG407,40.10,0.00
L,REG403,40.20,22.96
L,REG405,40.20,0.20
L,REG403,40.30,21.92
L,REG405,40.30,-0.08
L,REG403,40.40,22.96
L,REG405,40.40,0.20
L,REG404,40.50,38.12
L,REG404,40.60,38.38
L,REG407,40.60,0.08
L,REG403,40.70,21.92
L,REG405,40.70,-0.08
L,REG407,40.70,0.12
L,REG405,40.80,0.20
L,REG407,40.80,0.00
L,REG407,40.90,0.04
L,REG403,41.00,22.96
L,REG405,41.00,-0.08
L,REG403,41.10,21.92
L,REG404,41.10,38.12
L,REG405,41.10,0.20
L,REG407,41.10,0.00
L,REG403,41.30,22.96
L,REG403,41.40,21.92
L,REG407,41.40,0.04
L,REG407,41.50,0.08
L,REG404,41.60,38.38
L,REG407,41.60,0.12
L,REG403,41.70,22.96
L,REG404,41.70,38.12
L,REG405,41.70,-0.08
L,REG405,41.80,0.20
L,REG407,41.80,0.16
L,REG403,41.90,21.92
L,REG407,41.90,0.08
L,REG404,42.00,38.38
L,REG407,42.00,0.00
L,REG404,42.20,38.12
L,REG405,42.40,-0.08
L,REG405,42.50,0.20
L,REG403,42.60,22.96
L,REG403,42.70,21.92
L,REG407,42.70,0.04
L,REG403,42.80,22.96
L,REG407,42.80,0.08
L,REG404,42.90,38.38
L,REG407,42.90,0.00
L,REG403,43.00,21.92
L,REG404,43.00,38.12
L,REG403,43.10,22.96
L,REG404,43.20,38.38
L,REG404,43.30,38.12
L,REG407,43.30,0.04
L,REG403,43.40,21.92
L,REG405,43.40,-0.08
L,REG407,43.40,0.00
L,REG403,43.50,22.96
L,REG405,43.70,0.20
L,REG403,43.80,21.92
L,REG403,43.90,22.96
L,REG407,43.90,0.04
L,REG407,44.00,0.08
L,REG403,44.10,21.92
L,REG407,44.10,0.00
L,REG407,44.20,0.04
L,REG407,44.30,0.00
L,REG405,44.40,-0.08
L,REG405,44.50,0.20
L,REG407,44.60,0.08
L,REG403,44.70,22.96
L,REG407,44.70,0.04
L,REG405,44.80,-0.08
L,REG407,44.90,0.08
L,REG405,45.00,0.20
L,REG407,45.00,0.04
L,REG403,45.10,21.92
L,REG407,45.10,0.12
L,REG405,45.20,-0.08
L,REG407,45.20,0.24
L,REG405,45.30,0.20
L,REG407,45.30,0.20
L,REG403,45.40,22.96
L,REG405,45.50,-0.08
L,REG407,45.50,0.12
L,REG403,45.60,21.92
L,REG404,45.60,38.38
L,REG405,45.60,0.20
L,REG407,45.60,0.16
L,REG403,45.70,22.96
L,REG404,45.70,38.12
L,REG403,45.80,21.92
L,REG407,45.90,0.24
L,REG407,46.00,0.32
L,REG407,46.10,0.28
L,REG403,46.20,22.96
L,REG407,46.20,0.20
L,REG403,46.30,21.92
L,REG407,46.30,0.16
L,REG403,46.40,22.96
L,REG407,46.40,0.04
L,REG403,46.60,21.92
L,REG405,46.70,-0.08
L,REG407,46.70,0.16
L,REG405,46.80,0.20
L,REG407,46.80,0.12
L,REG403,46.90,22.96
L,REG407,46.90,0.08
L,REG403,47.00,21.92
L,REG407,47.00,0.00
L,REG404,47.20,38.38
L,REG405,47.20,-0.08
L,REG403,47.30,22.96
L,REG404,47.30,38.12
L,REG405,47.30,0.20
L,REG407,47.30,0.04
L,REG403,47.40,21.92
L,REG405,47.40,-0.08
L,REG407,47.40,0.00
L,REG405,47.60,0.20
L,REG405,47.70,-0.08
L,REG405,47.90,0.20
L,REG403,48.00,22.96
L,REG403,48.10,21.92
L,REG405,48.30,-0.08
L,REG405,48.40,0.20
L,REG403,48.50,22.96
L,REG405,48.60,-0.08
L,REG405,48.70,0.20
L,REG403,48.80,21.92
L,REG405,48.80,-0.08
L,REG403,48.90,22.96
L,REG405,48.90,0.20
L,REG403,49.30,21.92
L,REG407,49.30,0.08
L,REG407,49.40,0.00
L,REG407,49.50,0.04
L,REG403,49.60,22.96
L,REG407,49.60,0.00
L,REG403,49.70,21.92
L,REG407,49.70,0.08
L,REG403,49.80,22.96
L,REG407,49.80,0.12
L,REG407,49.90,0.08
L,REG403,50.00,21.92
L,REG403,50.10,22.96
L,REG407,50.10,0.04
L,REG405,50.20,-0.08
L,REG407,50.20,0.08
L,REG407,50.30,0.04
L,REG403,50.40,21.92
L,REG405,50.50,0.20
L,REG407,50.50,0.00
L,REG403,50.60,22.96
L,REG405,50.60,-0.08
L,REG405,50.70,0.20
L,REG407,50.70,0.04
L,REG403,50.80,21.92
L,REG407,50.80,0.12
L,REG405,50.90,-0.08
L,REG407,50.90,0.16
L,REG405,51.00,0.20
L,REG403,51.10,22.96
L,REG407,51.10,0.08
L,REG403,51.20,21.92
L,REG405,51.20,-0.08
L,REG405,51.30,0.20
L,REG407,51.30,0.00
L,REG403,51.40,22.96
L,REG407,51.50,0.04
L,REG403,51.70,21.92
L,REG407,51.70,0.00
L,REG407,51.90,0.04
L,REG403,52.00,22.96
L,REG403,52.10,21.92
L,REG407,52.10,0.00
L,REG403,52.20,22.96
L,REG405,52.20,-0.08
L,REG407,52.20,0.04
L,REG403,52.30,21.92
L,REG407,52.30,0.12
L,REG403,52.40,22.96
L,REG405,52.40,0.20
L,REG403,52.50,21.92
L,REG407,52.50,0.08
L,REG403,52.60,22.96
L,REG407,52.70,0.16
L,REG403,52.80,21.92
L,REG407,52.80,0.24
L,REG403,52.90,22.96
L,REG405,52.90,-0.08
L,REG407,52.90,0.12
L,REG403,53.00,21.92
L,REG405,53.00,0.20
L,REG403,53.10,22.96
